Time,EMG_value,Yaw,Roll,Pitch
0,81,32.66,-158.71,143.24
100,76,32.09,-158.71,141.52
200,28,30.37,-160.43,140.37
300,106,30.37,-161.0,140.37
400,112,32.09,-159.86,139.23
500,100,32.09,-159.86,138.08
600,149,32.09,-159.86,138.08
700,83,32.66,-159.86,136.94
800,92,32.66,-159.86,136.94
900,64,32.66,-160.43,136.94
1000,172,30.37,-162.15,136.36
1100,33,31.51,-161.57,135.79
1200,115,31.51,-161.57,135.79
1300,116,31.51,-162.15,135.79
1400,49,32.09,-163.29,133.5
1500,40,36.1,-167.88,118.6
1600,86,49.85,-166.16,95.68
1700,136,65.89,-170.17,76.2
1800,173,74.48,-168.45,69.33
1900,42,80.21,-167.88,65.89
2000,267,79.07,-169.02,67.04
2100,329,63.03,-163.87,80.79
2200,225,40.68,-165.58,104.85
2300,80,20.63,-172.46,127.2
2400,81,10.31,-178.19,136.94
2500,81,10.31,-178.19,136.94
2600,95,-9.74,167.3,149.54
2700,180,-7.45,169.02,150.69
2800,94,-4.58,171.89,149.54
2900,58,-1.72,174.18,150.11
3000,151,1.15,176.47,149.54
3100,92,5.16,179.91,148.97
3200,75,5.16,179.91,147.82
3300,77,7.45,-178.19,147.25
3400,95,10.31,-177.04,145.53
3500,47,14.32,-175.9,142.67
3600,101,34.95,-170.17,118.6
3700,131,47.56,-169.02,102.56
3800,66,67.61,-174.18,76.78
3900,111,88.24,179.91,60.73
4000,211,91.67,174.75,58.44
4100,125,82.51,177.04,64.17
4200,85,69.33,-175.33,73.34
4300,107,49.85,-169.6,93.97
4400,112,36.67,-170.17,110.58
4500,144,22.35,-174.18,128.34
4600,59,12.03,-179.34,137.51
4700,48,5.73,178.19,140.37
4800,112,7.45,-179.34,140.37
4900,126,8.59,-179.34,139.23
5000,109,11.46,-177.04,137.51
5100,169,12.61,-176.47,136.94
5200,53,14.32,-175.33,136.36
5300,131,14.32,-175.33,135.79
5400,41,16.04,-174.18,135.22
5500,100,17.19,-173.61,134.65
5600,100,17.19,-173.61,134.65
5700,61,18.33,-173.61,133.5
5800,81,20.05,-172.46,132.93
5900,89,20.63,-171.89,132.35
6000,64,29.79,-171.31,122.04
6100,87,41.83,-171.31,104.85
6200,178,56.72,-174.75,84.8
6300,96,79.64,175.9,65.89
6400,22,92.82,166.16,57.3
6500,48,101.99,160.43,52.71
6600,195,100.84,161.57,53.29
6700,235,76.2,174.75,65.89
6800,327,65.89,173.61,73.91
6900,193,45.84,165.58,92.82
7000,1006,37.24,177.04,107.14
7100,1006,37.24,177.04,107.14
7200,157,20.05,177.04,126.62
7300,150,13.18,175.9,136.94
7400,219,13.75,175.9,139.23
7500,76,13.75,175.33,139.23
7600,137,19.48,-178.19,136.36
7700,115,19.48,-178.19,136.36
7800,58,22.92,-174.75,136.94
7900,115,22.92,-174.75,136.94
8000,73,24.64,-173.61,135.79
8100,169,25.78,-173.61,135.22
8200,125,26.93,-173.03,134.65
8300,210,27.5,-173.03,133.5
8400,47,28.07,-172.46,132.35
8500,121,28.65,-171.89,132.35
8600,121,28.65,-171.89,132.35
8700,121,28.65,-171.89,132.35
8800,123,29.79,-171.89,131.21
8900,112,30.37,-171.31,130.06
9000,159,31.51,-170.74,130.06
9100,48,37.82,-170.17,120.89
9200,233,47.56,-174.18,102.56
9300,60,68.75,177.04,72.77
9400,61,100.27,158.14,54.43
9500,65,112.3,151.83,50.99
9600,170,111.73,152.98,50.99
9700,122,98.55,162.15,53.29
9800,255,73.34,173.61,64.74
9900,40,53.86,178.76,75.63
10000,230,32.66,-175.33,100.84
10100,204,25.21,-175.9,112.3
10200,112,14.32,-178.76,131.78
10300,64,11.46,-179.34,136.36
10400,137,10.31,-179.91,138.66
10500,75,13.75,-176.47,135.79
10600,146,15.47,-175.33,135.22
10700,70,16.62,-175.33,134.07
10800,158,17.76,-175.33,132.93
10900,158,17.76,-175.33,132.93
11000,98,18.91,-175.33,131.21
11100,95,20.05,-175.33,130.06
11200,103,20.63,-175.9,130.06
11300,31,22.35,-175.9,130.06
11400,55,24.64,-175.33,129.49
11500,119,25.21,-175.33,128.34
11600,78,25.78,-175.9,127.77
11700,55,26.36,-175.33,127.2
11800,28,28.65,-175.33,123.76
11900,135,29.79,-175.33,120.32
12000,65,36.67,-178.19,107.72
12100,13,55.58,173.03,80.21
12200,56,84.22,158.14,60.16
12300,79,115.74,134.65,53.29
12400,70,124.9,130.63,52.71
12500,193,114.59,140.95,52.71
12600,37,92.25,153.55,55.58
12700,81,57.3,171.31,69.33
12800,22,39.53,178.76,87.66
12900,97,21.77,179.34,112.3
13000,85,14.32,178.76,127.77
13100,90,12.61,178.19,130.63
13200,151,16.04,-178.76,131.21
13300,81,17.76,-178.19,130.06
13400,101,20.63,-176.47,130.06
13500,48,21.77,-175.9,129.49
13600,56,24.06,-175.33,128.92
13700,73,24.64,-174.75,128.34
13800,66,25.78,-174.18,125.48
13900,56,27.5,-174.75,124.9
14000,87,27.5,-175.33,124.33
14100,62,28.65,-174.75,123.76
14200,41,32.09,-176.47,116.88
14300,85,37.24,-178.76,105.42
14400,185,46.98,175.33,84.8
14500,85,73.34,160.43,60.73
14600,360,112.87,133.5,52.14
14700,180,125.48,128.92,50.99
14800,157,124.9,132.35,50.99
14900,157,100.27,147.82,50.99
15000,36,71.62,161.57,59.01
15100,268,48.13,173.03,74.48
15200,26,41.83,175.33,80.79
15300,84,24.64,-179.91,108.86
15400,64,21.2,-178.76,120.32
15500,113,22.35,-177.62,122.04
15600,146,24.06,-177.62,120.32
15700,153,24.64,-177.04,118.6
15800,83,27.5,-176.47,117.46
15900,91,28.07,-177.04,116.31
16000,214,29.22,-177.04,115.74
16100,61,29.79,-176.47,115.16
16200,116,31.51,-175.9,115.16
16300,50,32.66,-175.9,114.02
16400,69,36.1,-176.47,107.72
16500,133,46.98,178.76,86.52
16600,47,72.77,165.01,63.03
16700,117,94.54,150.69,54.43
16800,144,123.76,132.35,51.57
16900,107,128.92,130.06,50.99
17000,257,123.19,135.22,50.42
17100,96,88.24,156.99,53.86
17200,56,64.17,170.17,63.6
17300,314,46.41,177.04,75.06
17400,170,33.23,-176.47,92.82
17500,161,25.78,-174.75,110.01
17600,60,23.49,-174.18,117.46
17700,60,23.49,-174.18,117.46
17800,105,25.78,-173.03,119.75
17900,77,26.36,-173.03,118.6
18000,84,28.07,-172.46,116.88
18100,175,28.07,-172.46,116.88
18200,51,29.22,-172.46,115.74
18300,21,30.94,-172.46,114.02
18400,120,34.38,-174.75,106.0
18500,120,34.38,-174.75,106.0
18600,218,58.44,170.17,69.33
18700,151,73.91,161.57,60.16
18800,194,124.9,127.77,51.57
18900,111,127.77,127.77,50.42
19000,113,111.15,141.52,48.7
19100,47,78.5,162.72,55.0
19200,138,76.2,163.29,56.15
19300,235,40.68,-178.76,84.22
19400,460,37.82,-177.62,87.66
19500,153,30.37,-174.75,99.12
19600,98,24.64,-172.46,112.3
19700,110,24.06,-171.89,115.16
19800,109,24.06,-171.89,115.74
19900,41,24.64,-171.31,114.59
20000,146,25.21,-171.31,113.45
20100,152,25.21,-171.31,113.45
20200,149,28.07,-171.31,112.3
20300,45,29.22,-171.31,111.73
20400,114,29.79,-170.74,111.15
20500,104,29.79,-171.31,110.58
20600,162,30.37,-171.31,110.01
20700,19,31.51,-171.31,108.86
20800,147,33.23,-171.31,106.57
20900,71,40.11,-174.18,97.98
21000,246,55.58,178.19,75.63
21100,116,88.81,158.14,54.43
21200,180,97.4,151.26,51.57
21300,160,127.2,127.2,48.7
21400,26,120.32,134.65,48.13
21500,272,109.43,142.09,47.56
21600,185,70.47,165.58,55.58
21700,153,46.41,179.34,73.34
21800,171,35.52,-175.9,87.66
21900,127,28.07,-173.03,102.56
22000,48,23.49,-171.89,111.73
22100,134,21.77,-171.31,114.59
22200,39,22.92,-170.74,114.59
22300,96,23.49,-171.31,113.45
22400,123,23.49,-171.31,112.3
22500,205,24.06,-171.31,111.15
22600,160,24.64,-171.31,110.01
22700,156,25.78,-172.46,107.14
22800,64,31.51,-175.33,95.11
22900,43,37.24,-179.34,85.94
23000,118,53.86,170.74,68.18
23100,42,93.39,144.39,50.99
23200,27,114.02,126.05,50.42
23300,154,126.05,118.6,51.57
23400,114,123.76,122.61,50.99
23500,203,106.0,136.36,48.7
23600,59,79.07,156.42,51.57
23700,173,54.43,172.46,64.17
23800,54,34.95,-178.19,84.22
23900,186,31.51,-176.47,88.81
24000,108,22.35,-173.61,107.14
24100,78,21.77,-173.61,109.43
24200,60,20.63,-171.89,109.43
24300,112,20.63,-172.46,109.43
24400,85,21.77,-172.46,108.86
24500,105,21.77,-172.46,108.29
24600,119,22.35,-172.46,107.72
24700,74,23.49,-171.31,107.72
24800,138,27.5,-171.31,103.13
24900,114,38.39,-175.33,86.52
25000,63,54.43,174.75,65.32
25100,131,77.92,158.14,52.14
25200,69,106.0,135.22,46.98
25300,162,124.9,120.32,48.13
25400,131,126.62,120.32,48.13
25500,106,112.3,132.35,45.84
25600,267,81.93,155.27,47.56
25700,87,65.32,166.16,53.86
25800,46,42.4,179.91,69.9
25900,135,29.22,-173.61,89.38
26000,159,25.78,-173.03,95.68
26100,102,24.64,-171.89,100.27
26200,133,23.49,-172.46,103.71
26300,125,24.64,-171.89,103.71
26400,114,25.21,-171.31,102.56
26500,123,25.21,-171.89,102.56
26600,121,25.78,-171.89,101.41
26700,135,28.65,-173.03,97.4
26800,61,37.24,-175.9,84.8
26900,119,53.86,175.9,66.46
27000,102,61.88,170.17,60.16
27100,76,115.16,126.62,45.84
27200,93,123.19,119.75,46.41
27300,34,128.34,116.88,46.41
27400,141,119.75,124.9,44.69
27500,81,96.26,144.39,43.54
27600,132,59.01,172.46,55.0
27700,182,50.99,177.62,61.31
27800,177,30.37,-173.03,84.22
27900,144,21.77,-171.31,100.27
28000,199,17.76,-170.74,109.43
28100,74,17.19,-170.17,110.58
28200,104,16.04,-170.74,111.15
28300,104,16.04,-170.74,111.15
28400,55,17.19,-170.74,110.01
28500,78,18.33,-171.31,110.01
28600,168,18.91,-171.31,109.43
28700,54,20.05,-171.31,109.43
28800,66,21.77,-171.89,107.72
28900,108,32.66,-174.18,92.25
29000,70,44.69,-178.76,75.06
29100,152,61.88,171.89,61.31
29200,121,95.11,146.68,46.98
29300,205,112.3,132.35,45.84
29400,152,120.32,127.2,45.84
29500,54,110.58,135.79,44.69
29600,339,94.54,148.97,44.69
29700,192,58.44,175.33,60.16
29800,77,39.53,-174.75,80.79
29900,77,39.53,-174.75,80.79
30000,128,30.37,-170.74,101.41
30100,190,30.37,-171.89,103.71
30200,140,34.95,-172.46,103.13
30300,42,40.68,-173.61,103.71
30400,38,46.98,-173.61,104.85
30500,96,58.44,-173.61,108.86
30600,82,66.46,-173.03,111.73
30700,123,74.48,-170.74,116.31
30800,94,77.92,-169.02,118.6
30900,50,81.36,-167.3,121.47
31000,171,83.65,-165.58,119.18
31100,62,87.66,-163.87,114.59
31200,189,100.84,-162.72,93.39
31300,78,111.15,-166.16,77.92
31400,384,126.05,-176.47,61.31
31500,67,139.8,174.18,52.14
31600,152,133.5,177.04,56.15
31700,182,119.18,-175.33,65.32
31800,46,97.4,-169.6,82.51
31900,252,83.08,-169.02,100.27
32000,74,72.77,-169.02,120.89
32100,73,66.46,-171.89,132.93
32200,70,64.74,-173.03,138.08
32300,98,66.46,-171.89,138.66
32400,89,70.47,-169.6,135.22
32500,82,71.62,-169.02,132.93
32600,53,72.19,-169.02,132.35
32700,55,72.19,-168.45,131.21
32800,53,71.62,-169.02,130.06
32900,109,73.91,-168.45,128.92
33000,206,78.5,-167.88,123.19
33100,136,93.39,-166.73,102.56
33200,85,105.42,-170.17,83.65
33300,255,122.04,-178.19,66.46
33400,263,137.51,172.46,56.15
33500,120,140.37,170.74,53.86
33600,335,124.9,-179.91,61.88
33700,141,103.71,-171.31,76.78
33800,49,94.54,-170.17,88.24
33900,126,83.08,-168.45,108.29
34000,98,78.5,-168.45,116.31
34100,147,77.92,-168.45,118.6
34200,128,78.5,-168.45,118.03
34300,81,80.21,-167.3,116.31
34400,55,80.21,-167.3,116.31
34500,202,80.79,-168.45,116.88
34600,87,80.79,-168.45,116.88
34700,157,80.79,-168.45,116.88
34800,157,80.79,-168.45,116.88
34900,37,81.36,-168.45,116.31
35000,83,81.93,-169.02,115.16
35100,174,85.37,-168.45,112.3
35200,127,88.24,-167.88,108.29
35300,10,91.67,-168.45,101.41
35400,179,98.55,-171.31,88.81
35500,203,122.61,177.04,63.03
35600,20,141.52,163.87,51.57
35700,236,148.97,161.57,47.56
35800,316,148.4,162.15,48.7
35900,124,143.24,167.3,50.99
36000,60,118.03,-178.19,63.03
36100,47,97.4,-171.89,80.21
36200,243,84.8,-169.02,99.12
36300,37,75.06,-169.6,116.31
36400,206,69.33,-171.31,126.62
36500,202,60.73,-175.33,138.66
36600,169,57.87,-176.47,140.95
36700,140,60.73,-175.33,139.8
36800,82,61.31,-174.75,138.08
36900,147,64.17,-173.03,136.94
37000,189,67.04,-171.89,134.65
37100,62,73.91,-170.74,126.05
37200,147,88.24,-169.6,102.56
37300,43,105.42,-174.18,75.63
37400,86,115.16,-178.19,67.04
37500,68,139.8,163.29,52.71
37600,166,152.41,155.27,49.27
37700,31,150.11,156.42,50.42
37800,208,144.96,161.0,51.57
37900,231,127.77,172.46,57.3
38000,112,118.03,177.04,62.45
38100,73,92.82,-171.89,82.51
38200,218,83.65,-170.17,97.98
38300,102,78.5,-169.6,109.43
38400,156,77.35,-169.6,113.45
38500,82,76.2,-169.6,115.74
38600,82,76.2,-169.6,115.74
38700,72,77.92,-167.88,115.74
38800,83,78.5,-167.88,115.16
38900,80,78.5,-167.88,115.16
39000,89,79.07,-169.02,114.59
39100,113,80.79,-169.02,112.3
39200,49,85.37,-170.17,104.28
39300,256,92.25,-172.46,91.67
39400,69,108.29,178.76,71.05
39500,96,123.19,170.17,60.73
39600,262,146.1,153.55,50.99
39700,59,152.98,150.11,49.27
39800,236,152.98,148.4,49.85
39900,92,144.39,153.55,50.42
40000,76,122.04,169.6,55.58
40100,189,103.13,-177.04,69.33
40200,92,92.82,-173.03,84.22
40300,154,88.24,-171.89,91.67
40400,123,81.93,-169.6,106.57
40500,46,77.35,-169.6,114.59
40600,194,76.78,-169.6,115.16
40700,179,76.78,-169.6,115.16
40800,179,76.78,-169.6,115.16
40900,122,77.35,-169.6,114.59
41000,126,78.5,-170.17,112.87
41100,127,82.51,-171.89,106.0
41200,126,91.67,-174.75,87.09
41300,56,99.12,-175.9,74.48
41400,138,119.18,170.17,56.72
41500,213,143.24,149.54,48.13
41600,79,150.69,145.53,46.98
41700,184,152.41,144.39,47.56
41800,333,147.25,148.4,48.7
41900,192,139.23,154.7,49.27
42000,168,117.46,170.17,54.43
42100,175,102.56,177.04,64.17
42200,168,88.24,-175.33,79.07
42300,297,78.5,-171.89,95.68
42400,84,73.91,-170.74,106.0
42500,80,72.77,-170.74,108.29
42600,205,71.05,-170.74,111.73
42700,150,71.05,-170.17,112.87
42800,76,72.19,-170.17,112.3
42900,130,73.34,-170.74,111.15
43000,232,74.48,-170.17,108.29
43100,104,75.63,-170.74,107.14
43200,58,77.92,-172.46,101.41
43300,99,84.8,-174.18,86.52
43400,111,92.82,-177.62,73.34
43500,132,117.46,167.3,56.15
43600,196,141.52,147.82,48.7
43700,131,151.26,141.52,47.56
43800,84,150.69,142.67,46.98
43900,35,134.65,155.27,48.7
44000,55,121.47,164.44,51.57
44100,73,107.14,173.03,57.87
44200,74,79.64,-173.61,83.65
44300,229,72.77,-171.89,97.4
44400,124,71.05,-171.31,100.84
44500,100,64.17,-170.74,116.88
44600,160,63.03,-170.74,119.75
44700,65,62.45,-171.31,120.32
44800,169,63.03,-171.31,119.75
44900,71,64.17,-170.74,118.03
